title,release_date,original_language,original_title,overview,tagline,genres,spoken_languages,keywords
Phantom of the Opera,1943-08-12,en,Phantom of the Opera,"Pit violinist Claudin hopelessly loves rising operatic soprano Christine Dubois (as do baritone Anatole and police inspector Raoul) and secretly aids her career. But Claudin loses both his touch and his job, murders a rascally music publisher in a fit of madness, and has his face etched with acid. Soon, mysterious crimes plague the Paris Opera House, blamed on a legendary ""phantom"".",The screen's classic of terror!,"Horror, Romance, Drama, Music",english,"opera, musical, remake, gothic horror, technicolor, literary adaptation, stage musical, phantom of the opera"
Rollerball,2002-02-08,en,Rollerball,"In this fast action-packed thriller, Jonathan, Marcus, and Aurora compete in a dangerous, fierce sport called Rollerball. Although, Johnathan and Marcus try to quit, cruel and vindictive promoter Alexi Petrovich encourages them to still participate.",Go Ballistic,"Action, Science Fiction, Thriller","german, french, japanese, korean, russian, arabic, english","arena, sports, manager, dystopia, wrestling, roller-skating, motor sport, roller skating, future sport"
Frieda,1947-06-19,en,Frieda,"A young German girl marries an Englishman and moves into his family's household during the last days of World War II. The family and community have conflicting feelings about her presence in the community, and as a result, the family is forced to face their own moral code as they deal with their own prejudices and fears about the seemingly innocent German girl. The war ends, and she finally seems to be accepted into the family and community when her Nazi brother shows up to create havoc.",The film that puts the question - Would YOU take Frieda into YOUR Home?,"Drama, War",english,british noir
The Delta,1997-08-15,en,The Delta,"In Memphis, a middle-class white teenager and a black Vietnamese immigrant meet in a gay cruising spot and discover what they don't have in common.",The distance between two men is...,Drama,"english, vietnamese","interracial relationship, lgbt teen"
"No, No, Nanette",1930-01-03,en,"No, No, Nanette",A bible publisher is falling in love with a chorus girl and finds himself backing a Broadway show.,The Grandest Girl And Music Show In The History of Entertainment,"Comedy, Music",english,"based on play or musical, atlantic city, pre-code"
Local Boys,2002-02-23,en,Local Boys,"On Skeet’s twelfth birthday his older brother Randy buys him his first surfboard. Suddenly his summer turns to the endless search for the perfect wave, wild times and beach parties and eventually, finding his own daring adventures when Randy’s attention turns to a girl. Beyond his wildest dreams, Skeet is taken under the wings of surfing legend Jim Wesley who gives Skeet first-hand lessons in hot-dogging. Meanwhile, Randy, still dealing with the loss of his father and trying to fill his shoes, is jealous of Jim’s influence on Skeet and isn’t thrilled when Jim begins a relationship with their single mom. Tangled by the conflict between his brother and his newfound father figure, Skeet retreats to his room while longing to surf.",Dream The Extreme,Drama,english,surfing
Savage,2009-10-17,en,Savage,"On a summer day in the 1950s, a native girl watches the countryside go by from the backseat of a car. A woman at her kitchen table sings a lullaby in her Cree language. When the girl arrives at her destination, she undergoes a transformation that will turn the woman’s gentle voice into a howl of anger and pain.",A residential school musical,"Drama, Music",cree,"dance, indigenous, musical, tragedy, choreography, residential school, first nations, coping mechanisms, short film"
Demonoid: Messenger of Death,1981-02-27,en,Demonoid: Messenger of Death,"A British woman visits her husband at the Mexican mine he is attempting to reopen and discovers that the workers refuse to enter the mine, fearing an ancient curse. The couple enter the mine to prove there is no danger and inadvertently release a demon which possesses people's left hands and forces them to behave in a suitably diabolical manner.",Up from the depths of hell comes the ultimate horror!,Horror,"english, spanish","satanism, murder, devil, hand, severed hand, disembodied hand"
"Video Nasties: Moral Panic, Censorship & Videotape",2010-08-30,en,"Video Nasties: Moral Panic, Censorship & Videotape","A documentary analyzing the furore which so-called ""video nasties"" caused in Britain during the 1980s.",72 films that changed Britain forever.,Documentary,english,"media, sexuality, paranoia, politician, interview, conservative, director, britain, censorship, video nasty"
Russian Roulette,1975-08-20,en,Russian Roulette,"An RCMP officer is ordered to discreetly take a Russian immigrant into custody in advance of a state visit by the Soviet premier. When the prisoner is kidnapped, the officer is drawn into a complicated assassination scheme.",George Segal hangs tough...and plays the game with all the chambers loaded!,"Thriller, Crime, Drama",english,"cia, hitman, spy, soviet union, firearm, kgb, mafia, conspiracy, sniper rifle, explosion, christmas"
