title,release_date,overview,tagline,genres,keywords
Mystery House,1938-05-21,"When a banker is found shot dead with a gun in his hand, his daughter refuses to believe it is a suicide. With the help of a detective, she hopes to get to the bottom of the case.",Who will be the killer's next victim?,"Adventure, Crime, Mystery","suicide, nurse, detective, old house"
Loveboat Takeout,2023-03-10,"The labor of immigrants is essential in Miami, however, there's less recognition of the Asian population’s entrepreneurial endeavors. ""Loveboat Takeout"" is an experimental docu-fiction short about an immigrant family’s former business, a Chinese restaurant in Miami.",,,
Grandpa’s War Story Goes Viral,,"Narrated by Liev Schreiber, GRANDPA’S WAR STORY GOES VIRAL shares the remarkable account of James (Jim) Schmidt's World War II service and military career, and his grandson Henry De Hoop's efforts to generate interest in his grandfather's war journey with the help of social media. Like 16 million others of his generation, Schmidt responded to the national call to duty following the bombing of Pearl Harbor in 1941. The twist: Schmidt enlisted at the age of 14 and left home without ever telling his parents. As a member of the 504th Parachute Infantry Regiment of the 82nd Airborne Division, he was sent to North Africa in late April of 1943. Schmidt's age was eventually revealed, and he was sent home, after his wounding in the invasion of Sicily. Not to be deterred, Schmidt would serve stints in both the U.S. Navy and Merchant Marines before finally reaching 18 and officially rejoining the Army.",,,
Henry Lee Lucas: The Confession Killer,1995-03-01,"A post clinical style of commentary and re-cap by the judges, lawyers, psychologists, forensic scientists and serial killers themselves, who were engaged in the criminal prosecution of Henry Lee Lucas, one the most infamous serial killers.",,Documentary,
Asante Market Women,1982-01-01,"As retailers, wholesalers, and negotiators, Asante women of Ghana dominate the huge Kumasi Central Market amid the laughter, argument, colour and music. The crew of this `Disappearing World' film have jumped into the fray, explored, and tried to explain the complexities of the market and its traders. As the film was to be about women traders, an all female film crew was selected and the rapport between the two groups of women is remarkable. The relationship was no doubt all the stronger because the anthropologist acting as advisor to the crew, Charlotte Boaitey, is herself an Asante. The people open up for the interviewers telling them about their lives as traders, about differences between men and women, in their perception of their society and also about marriage.",,Documentary,"anthropology, anthropologist, ethnographical, ethnographic film, ethnography, asante"
Seasons in the Sun,1986-01-07,A terminally ill pop-music singer's retirement is complicated by the arrival of a defecting scientist and a CIA agent.,,"Drama, TV Movie","pop star, terminal illness"
Let the Devil Wear Black,1999-01-01,A man comes face-to-face with personal treachery after suspecting that his father may have been murdered.,,"Drama, Mystery",woman director
Fish - Weltschmerz,,Newest and last album of Fish.,BluRay Audio,,
Auguszta is Caring For a Patient,,Animated short.,,,
Rainbow Baby,,"The heartbreaking story of a couple trying to heal after a devastating miscarriage - while running an ice cream shop, no less.",,,
How to Train Your Dragon: The Technical Artistry of Dragon,2010-10-15,Featurette for How to Train Your Dragon takes an in-depth look at how the 3D medium effects the style to the film.,,"Documentary, Animation",
The Rogues of Paris,1913-10-24,,,Drama,
Ancient Alien Origins,2017-02-14,"Researchers discover that Aliens from another world assisted in the evolution of man and were the genesis of a very real bloodline that remains intact today. The Aliens left Earth millennia ago, but the signs are growing daily.",,Documentary,"alien, conspiracy, unidentified aerial phenomenon"
Mozart Requiem and Mass In C Minor,2004-04-03,"Two of Mozart's best-loved choral works - the 1791 Requiem, and the Mass in C minor, both of which were unfinished when he died.",,Music,
Children of the Ruins,1948-01-01,The ill effects on children's bodies and minds of the chaotic conditions being countered by the endeavours of UNESCO. The film emphasises especially the problem of the devastated areas.,,Documentary,
Disposal,2017-03-09,A father teaching his daughter how to drive gets more than he bargained for.,,Comedy,
Clean Cut American Kids: The Story of Ill Repute,2014-01-01,"Ill Repute are Nardcore legends. The documentary takes us back to their childhoods, tracing their journey of meeting, discovering punk rock, and forming the band. It also explores their rapid rise to prominence during the early 1980s punk movement. With unwavering dedication, they poured their hearts into the band, crafting remarkable music and playing countless shows.  As the punk scene evolved, they ventured into different styles, leading to a hiatus. However, the band returned in the 1990s with fresh members and a transformed sound. Today, they continue to thrive, showcasing their enduring strength.",,"Music, Documentary",
PHONE,,A sinister plan is told through from the perspective of someone's phone screen.,,,"screenlife, suspense"
...Or Die,2012-10-27,"""...Or Die”, directed by Gregory Bonsignore and John Petaja, satirizes the obstacles today's South Asian Hollywood actors have to deal with.",What can brown do for you?,Comedy,"satire, east asian lead, south asian"
Squali - La verità sui killer dei mari,2005-05-01,"Two spectacular documentaries on the great terror of the seas: the shark. From the great white shark, which picks up the electromagnetic fields of prey and devours 200 kg of meat a day, to the curious hammerhead shark, star of one of the most spectacular marine migrations ever filmed.",The truth about sea killers,Documentary,
Millennium Mets - The Story Of The 2000 National League Champions,2000-12-05,"It began in Tokyo, Japan with the first regular season game ever played outside North America and ended in the heart of New York City with the first Subway Series in 44 years. In between, the 2000 New York Mets gave their fans memories that might well last a lifetime.",,Documentary,"baseball, mets"
Horrortales.666 Part 2,2021-08-15,"The sequel to the cult classic, shot-on-video horror anthology, Horrortales.666. 18 years ago a burglar broke into an author's house and discovers a computer filled with forbidden stories. As he reads he is drawn into the terror of each one. Now, 18 years later, the burglar (played once again by JOEL D. WYNKOOP) breaks in another house only to discover more stories demanding to be told. This time, however, he is taunted by a man promising to take him to hell and back and make him pay for his evil deeds. PHIL HERMAN and Producer DUSTIN HUBBARD proudly bring you this new chilling anthology featuring horror cult classic stars, DEBBIE ROCHON, ARI LEHMAN (the first Jason in FRIDAY THE 13TH,) SHAWN C. PHILLIPS and DEBBIE D. Welcome back to Horrortales.666, where the stories have teeth.",The Best is yet to Come!,Horror,
Misfortune,2022-10-04,"Looking for a new outlook on life after a tragic accident, Rachel moves to a new home and finds a mysterious fortune teller arcade game left behind, who offers her one wish.","For a small price, I grant your wish.",Horror,
Idle Thoughts,2018-03-14,"When a demanding lover inspires her to write, an idle woman must fake the relationship in order to complete her new book.",Fake it 'til you make it!,"Comedy, Drama, Romance","love, deceit"
Fast Times at Ridgemont High,1982-08-13,"Based on the real-life adventures chronicled by Cameron Crowe, Fast Times follows a group of high school students growing up in Southern California. Stacy Hamilton and Mark Ratner are looking for a love interest, and are helped along by their older classmates, Linda Barrett and Mike Damone, respectively. At the center of the film is Jeff Spicoli, a perpetually stoned surfer who faces-off with the resolute Mr. Hand—a man convinced that everyone is on dope.","At Ridgemont High, only the rules get busted!",Comedy,"high school, friendship, rock 'n' roll, based on novel or book, shopping mall, loss of virginity, coming of age, teacher, bong, drug humor, marijuana, teen movie, stoner, irreverence, teen comedy, woman director, teenager"
Lady Avenger,1988-07-01,"When the door of freedom cracks open for inmate Maggie Blair at her brother's funeral, she doesn't let anything stand in her way. This begins her furious determination to unearth the gang that murdered her brother.",,Action,
